Date,Open,High,Low,Close,Volume
09/25/2023,"94.49","94.62","94.29","94.30","7,485,203"
09/22/2023,"94.78","95.09","94.73","95.05","7,294,228"
09/21/2023,"94.80","94.81","94.64","94.65","8,028,921"
09/20/2023,"95.57","95.70","95.30","95.30","6,282,734"
09/19/2023,"95.54","95.59","95.35","95.35","5,327,873"
09/18/2023,"95.37","95.64","95.36","95.63","6,066,168"
09/15/2023,"95.64","95.70","95.48","95.49","5,667,690"
09/14/2023,"95.96","95.98","95.68","95.71","5,952,843"
09/13/2023,"95.61","95.95","95.59","95.84","5,953,577"
09/12/2023,"95.71","95.73","95.57","95.70","4,583,413"
09/11/2023,"95.66","95.73","95.57","95.67","4,077,173"
09/08/2023,"95.93","96.02","95.76","95.78","4,774,309"
09/07/2023,"95.59","95.74","95.49","95.73","5,077,850"
09/06/2023,"95.63","95.64","95.31","95.43","8,379,217"
09/05/2023,"95.85","95.87","95.52","95.52","6,111,516"
09/01/2023,"96.54","96.57","95.98","96.04","8,132,478"
08/31/2023,"96.78","96.96","96.72","96.80","7,230,076"
08/30/2023,"96.78","96.83","96.62","96.66","8,752,362"
08/29/2023,"95.91","96.71","95.91","96.70","7,386,310"
08/28/2023,"96.10","96.11","95.93","96.08","6,544,469"
08/25/2023,"95.82","96.08","95.60","95.87","7,917,939"
08/24/2023,"95.99","96.12","95.85","95.93","8,247,712"
08/23/2023,"95.75","96.15","95.73","96.15","7,831,606"
08/22/2023,"95.17","95.32","95.06","95.24","6,156,222"
08/21/2023,"95.26","95.30","95.04","95.14","13,362,270"
08/18/2023,"95.47","95.75","95.43","95.62","6,154,612"
08/17/2023,"95.50","95.55","95.21","95.41","8,162,377"
08/16/2023,"95.76","95.93","95.45","95.51","8,964,587"
08/15/2023,"95.81","96.07","95.74","95.74","6,522,465"
08/14/2023,"95.98","96.22","95.83","96.00","7,901,458"
08/11/2023,"96.12","96.42","96.07","96.07","9,016,684"
08/10/2023,"97.06","97.22","96.37","96.37","15,516,100"
08/09/2023,"97.01","97.12","96.91","97.00","5,634,703"
08/08/2023,"96.94","97.11","96.84","96.93","6,867,329"
08/07/2023,"96.64","96.70","96.48","96.70","9,732,593"
08/04/2023,"96.25","96.75","96.25","96.68","6,400,359"
08/03/2023,"95.93","96.02","95.80","95.89","7,532,793"
08/02/2023,"96.48","96.56","96.23","96.54","8,551,942"
08/01/2023,"97.01","97.09","96.71","96.77","8,810,799"
07/31/2023,"97.53","97.80","97.52","97.68","11,079,100"
07/28/2023,"97.39","97.59","97.31","97.56","9,233,678"
07/27/2023,"97.84","97.93","97.11","97.18","6,937,871"
07/26/2023,"97.93","98.07","97.68","98.02","5,907,376"
07/25/2023,"97.58","97.79","97.57","97.70","5,794,830"
07/24/2023,"98.10","98.16","97.79","97.81","6,656,685"
07/21/2023,"98.11","98.15","97.94","97.99","7,605,261"
07/20/2023,"98.06","98.08","97.73","97.92","12,562,380"
07/19/2023,"98.35","98.48","98.19","98.43","7,467,923"
07/18/2023,"98.33","98.41","98.13","98.13","5,593,380"
07/17/2023,"97.95","98.10","97.85","98.05","4,689,526"
07/14/2023,"98.23","98.31","97.92","97.94","7,208,467"
07/13/2023,"98.18","98.44","98.12","98.41","7,458,509"
