Date,Open,High,Low,Close,Volume
05/02/2023,"414.77","414.82","407.82","410.84","103,998,492"
05/01/2023,"415.47","417.62","415.27","415.51","62,122,246"
04/28/2023,"411.49","415.94","411.43","415.93","89,433,133"
04/27/2023,"407.00","412.69","406.74","412.41","92,968,367"
04/26/2023,"406.72","407.84","403.78","404.36","80,447,047"
04/25/2023,"410.58","411.16","406.02","406.08","97,766,719"
04/24/2023,"411.99","413.07","410.60","412.63","64,332,102"
04/21/2023,"412.19","412.68","410.17","412.20","73,457,422"
04/20/2023,"411.21","413.70","410.27","411.88","75,840,359"
04/19/2023,"412.22","415.08","412.16","414.14","55,227,328"
04/18/2023,"415.58","415.72","412.78","414.21","63,560,000"
04/17/2023,"412.37","413.96","411.09","413.94","66,436,398"
04/14/2023,"412.81","415.09","410.06","412.46","78,161,508"
04/13/2023,"409.18","413.84","407.99","413.47","85,814,750"
04/12/2023,"411.87","412.17","407.44","408.05","86,420,383"
04/11/2023,"410.26","411.18","408.92","409.72","59,297,953"
04/10/2023,"406.61","409.69","405.97","409.61","63,681,039"
04/06/2023,"406.77","409.48","405.68","409.19","63,743,352"
04/05/2023,"407.91","408.70","405.88","407.60","65,200,238"
04/04/2023,"411.62","411.92","407.24","408.67","66,601,531"
04/03/2023,"408.85","411.37","408.44","410.95","67,391,102"
03/31/2023,"404.66","409.70","404.55","409.39","112,062,602"
03/30/2023,"404.09","404.35","401.76","403.70","69,840,047"
03/29/2023,"399.93","401.60","398.68","401.35","77,497,883"
03/28/2023,"395.77","396.49","393.69","395.60","62,871,680"
03/27/2023,"398.12","398.92","395.56","396.49","74,010,406"
03/24/2023,"391.84","395.84","389.40","395.75","107,770,094"
03/23/2023,"395.09","399.29","390.35","393.17","119,351,297"
03/22/2023,"398.73","402.49","392.07","392.11","111,746,602"
03/21/2023,"397.24","399.41","395.58","398.91","91,524,250"
03/20/2023,"390.80","394.17","390.07","393.74","93,055,773"
03/17/2023,"393.22","394.40","388.55","389.99","140,553,406"
03/16/2023,"386.82","396.47","386.29","396.11","143,753,906"
03/15/2023,"385.89","389.49","383.71","389.28","172,996,891"
03/14/2023,"390.50","393.45","387.05","391.73","149,752,406"
03/13/2023,"381.81","390.39","380.65","385.36","157,790,000"
